,Duration,DATE,Pulse,Maxpulse,Calories
0,60,'2020/12/01',110,130,409.1
1,60,'2020/12/02',117,145,479
2,60,'2020/12/03',103,135,340
3,45,'2020/12/04',109,175,282.4
4,45,'2020/12/05',117,148,406
5,60,'2020/12/06',102,127,300
6,60,'2020/12/07',110,136,374
7,450,'2020/12/08',104,134,253.3
8,30,2020/12/09',109,133,195.1
9,60,'2020/12/10,98,124,269
10,60,'2020/12/11',103,147,329.3
11,60,'2020/12/12',100,120,250.7
12,60,'2020/12/12',106,128,345.3
13,60,'2020/12/13',104,132,379.3
14,60,'2020/12/14',98,123,275
15,60,'2020/12/15',98,120,215.2
15,60,'2020/12/16',100,120,300
17,45,'2020/12/17',90,112,
18,60,'2020/12/18',103,123,323
19,45,'2020/12/19',97,125,243
20,60,'2020/12/21',108,131,364.2
21,45,,100,119,282
22,60,,130,101,300
23,45,,105,132,246
24,60,,102,126,334.5
25,60,,100,120,250
26,60,,92,118,241
27,60,,103,132,
28,60,,100,132,280
29,60,,102,129,380.3
30,60,,92,115,243
